RouterId,InPort,InVCID,OutPort,OutVCID
0,-1,-1,9,0
0,1,0,8,0
0,8,0,1,0
0,8,1,-1,-1
0,9,0,1,1
0,9,1,-1,-1
1,0,0,2,0
1,0,1,2,1
1,2,0,0,0
2,-1,-1,1,0
2,1,0,-1,-1
2,1,1,3,1
2,3,0,-1,-1
2,8,0,3,0
3,-1,-1,2,0
3,2,0,4,0
3,2,1,4,1
3,4,0,-1,-1
4,3,0,5,0
4,3,1,5,1
4,5,0,3,0
5,-1,-1,6,2
5,4,0,6,0
5,4,1,6,1
5,6,0,4,0
6,5,0,-1,-1
6,5,1,-1,-1
6,5,2,7,0
6,7,0,5,0
7,-1,-1,14,0
7,6,0,13,0
7,8,0,-1,-1
7,13,0,-1,-1
7,13,1,-1,-1
7,14,0,6,0
8,-1,-1,9,0
8,0,0,11,0
8,0,1,7,0
8,7,0,12,0
8,11,0,2,0
8,14,0,0,0
8,14,1,0,1
9,-1,-1,12,0
9,0,0,10,0
9,0,1,10,1
9,8,0,-1,-1
9,12,0,-1,-1
10,-1,-1,11,0
10,9,0,15,0
10,9,1,-1,-1
10,9,2,15,2
10,11,0,-1,-1
10,11,1,15,1
11,-1,-1,12,0
11,8,0,-1,-1
11,10,0,8,0
11,12,0,-1,-1
11,17,0,10,0
12,-1,-1,13,0
12,8,0,11,0
12,9,0,14,0
12,11,0,14,1
12,13,0,17,2
12,17,0,9,0
12,17,1,-1,-1
13,-1,-1,7,0
13,7,0,-1,-1
13,7,1,19,3
13,12,0,7,1
13,14,0,19,0
13,14,1,19,1
13,14,2,19,2
14,-1,-1,13,0
14,7,0,18,0
14,7,1,-1,-1
14,12,0,-1,-1
14,12,1,-1,-1
14,17,0,7,0
14,18,0,8,0
15,-1,-1,18,0
15,10,0,-1,-1
15,10,1,-1,-1
15,10,2,-1,-1
15,17,0,-1,-1
15,17,1,-1,-1
15,17,2,-1,-1
15,18,0,-1,-1
15,18,1,-1,-1
16,17,0,-1,-1
17,-1,-1,14,0
17,11,0,18,0
17,11,1,-1,-1
17,12,0,22,0
17,12,1,15,1
17,12,2,15,2
17,14,0,16,0
17,18,0,12,0
17,18,1,-1,-1
17,22,0,11,0
17,22,1,12,1
18,-1,-1,14,0
18,14,0,22,0
18,15,0,21,1
18,17,0,21,0
18,20,0,15,0
18,20,1,22,1
18,21,0,15,1
18,21,1,-1,-1
18,21,2,17,1
18,23,0,-1,-1
19,13,0,-1,-1
19,13,1,20,0
19,13,2,-1,-1
19,13,3,20,1
20,-1,-1,18,0
20,18,0,-1,-1
20,19,0,-1,-1
20,19,1,-1,-1
21,-1,-1,18,0
21,18,0,-1,-1
21,18,1,-1,-1
22,-1,-1,17,1
22,17,0,-1,-1
22,18,0,-1,-1
22,18,1,-1,-1
22,18,2,17,0
23,-1,-1,18,0
