Source,Destination,Path,PathDelay,PathCost
0,1,0->1,2,2
0,1,0->8->2->1,15,15
0,2,0->1->2,8,8
0,2,0->8->2,9,9
0,3,0->1->2->3,15,15
0,3,0->8->7->6->5->4->3,21,21
0,4,0->1->2->3->4,18,18
0,4,0->8->7->6->5->4,18,18
0,5,0->8->7->6->5,17,17
0,5,0->1->2->3->4->5,19,19
0,6,0->8->7->6,14,14
0,6,0->1->2->3->4->5->6,22,22
0,7,0->8->7,10,10
0,7,0->9->12->13->7,19,19
0,8,0->8,4,4
0,8,0->9->12->8,10,10
0,9,0->9,5,5
0,9,0->8->12->9,9,9
0,10,0->9->10,12,12
0,10,0->8->12->11->10,18,18
0,11,0->8->12->11,12,12
0,11,0->9->12->17->11,18,18
0,12,0->8->12,6,6
0,12,0->9->12,8,8
0,13,0->8->12->13,10,10
0,13,0->9->12->14->13,16,16
0,14,0->8->14,10,10
0,14,0->9->12->13->14,14,14
0,15,0->8->12->17->15,17,17
0,15,0->9->10->15,18,18
0,16,0->8->12->17->16,12,12
0,16,0->9->12->13->14->18->23->16,25,25
0,17,0->8->12->17,9,9
0,17,0->9->12->13->14->17,20,20
0,18,0->8->12->17->18,14,14
0,18,0->9->12->13->14->18,20,20
0,19,0->8->12->13->19,15,15
0,19,0->9->12->17->22->18->19,21,21
0,20,0->8->12->13->19->20,17,17
0,20,0->9->12->17->22->18->21->20,22,22
0,21,0->8->12->17->18->21,15,15
0,21,0->9->12->13->19->20->21,24,24
0,22,0->8->12->17->22,12,12
0,22,0->9->12->13->14->18->22,22,22
0,23,0->8->12->17->23,14,14
0,23,0->9->12->13->14->18->23,21,21
1,0,1->0,2,2
1,0,1->2->8->0,15,15
1,2,1->2,6,6
1,2,1->0->8->2,11,11
1,3,1->2->3,13,13
1,3,1->0->8->7->6->5->4->3,23,23
1,4,1->2->3->4,16,16
1,4,1->0->8->7->6->5->4,20,20
1,5,1->2->3->4->5,17,17
1,5,1->0->8->7->6->5,19,19
1,6,1->0->8->7->6,16,16
1,6,1->2->3->4->5->6,20,20
1,7,1->0->8->7,12,12
1,7,1->2->8->12->13->7,24,24
1,8,1->0->8,6,6
1,8,1->2->8,11,11
1,9,1->0->9,7,7
1,9,1->2->8->12->9,16,16
1,10,1->0->9->10,14,14
1,10,1->2->8->12->11->10,25,25
1,11,1->0->8->12->11,14,14
1,11,1->2->8->11,21,21
1,12,1->0->8->12,8,8
1,12,1->2->8->14->12,23,23
