RouterId,InPort,InVCID,OutPort,OutVCID
0,-1,-1,9,0
0,8,0,-1,-1
0,8,1,-1,-1
0,8,2,1,1
0,8,3,-1,-1
0,9,0,1,0
0,9,1,-1,-1
1,0,0,2,0
1,0,1,-1,-1
1,2,0,-1,-1
2,1,0,-1,-1
2,3,0,8,0
2,3,1,8,1
2,8,0,-1,-1
2,8,1,1,0
3,-1,-1,2,1
3,4,0,-1,-1
3,4,1,2,0
4,-1,-1,5,0
4,5,0,3,0
5,-1,-1,6,1
5,4,0,6,0
5,6,0,4,0
6,5,0,7,0
6,5,1,7,1
6,7,0,5,0
6,7,1,-1,-1
7,-1,-1,14,0
7,6,0,14,1
7,6,1,13,0
7,8,0,6,1
7,13,0,-1,-1
7,13,1,-1,-1
7,14,0,6,0
7,14,1,-1,-1
8,-1,-1,9,1
8,0,0,14,2
8,2,0,9,0
8,2,1,14,1
8,7,0,11,0
8,9,0,14,0
8,9,1,7,0
8,9,2,-1,-1
8,11,0,0,0
8,11,1,0,1
8,11,2,0,2
8,12,0,2,1
8,14,0,2,0
8,14,1,0,3
9,-1,-1,8,0
9,0,0,10,0
9,0,1,10,2
9,8,0,10,1
9,8,1,-1,-1
9,10,0,8,1
9,10,1,8,2
9,12,0,-1,-1
10,-1,-1,11,0
10,9,0,15,0
10,9,1,15,1
10,9,2,-1,-1
10,15,0,-1,-1
11,-1,-1,17,1
11,8,0,-1,-1
11,10,0,17,0
11,17,0,8,0
11,17,1,8,1
11,17,2,8,2
12,-1,-1,14,0
12,9,0,17,2
12,13,0,17,3
12,14,0,8,0
12,17,0,9,0
12,17,1,-1,-1
13,-1,-1,7,0
13,7,0,-1,-1
13,7,1,19,0
13,19,0,7,1
14,-1,-1,19,0
14,7,0,17,0
14,7,1,17,1
14,7,2,-1,-1
14,8,0,-1,-1
14,8,1,18,0
14,8,2,19,1
14,12,0,7,1
14,17,0,7,0
14,17,1,-1,-1
14,18,0,8,0
14,19,0,12,0
15,-1,-1,18,0
15,10,0,-1,-1
15,10,1,-1,-1
15,17,0,-1,-1
15,17,1,-1,-1
15,17,2,-1,-1
15,17,3,-1,-1
15,17,4,-1,-1
15,18,0,-1,-1
15,18,1,-1,-1
15,18,2,10,0
17,-1,-1,14,0
17,11,0,22,1
17,11,1,14,1
17,11,2,18,0
17,11,3,-1,-1
17,11,4,15,1
17,12,0,22,2
17,12,1,15,2
17,12,2,15,3
17,12,3,15,4
17,14,0,22,0
17,14,1,-1,-1
17,18,0,12,0
17,18,1,-1,-1
17,22,0,11,0
17,22,1,11,2
17,22,2,12,1
17,23,0,11,1
18,-1,-1,14,0
18,14,0,-1,-1
18,15,0,21,1
18,17,0,21,0
18,20,0,15,0
18,20,1,22,0
18,21,0,15,1
18,21,1,-1,-1
18,21,2,17,1
18,23,0,-1,-1
18,23,1,19,0
19,13,0,20,0
19,14,0,-1,-1
19,14,1,-1,-1
19,14,2,-1,-1
19,18,0,13,0
19,20,0,14,0
20,-1,-1,18,0
20,18,0,-1,-1
20,19,0,-1,-1
21,-1,-1,18,0
21,18,0,-1,-1
21,18,1,-1,-1
21,22,0,-1,-1
22,-1,-1,17,0
22,17,0,-1,-1
22,17,1,21,0
22,17,2,-1,-1
22,18,0,-1,-1
23,-1,-1,18,0
